#,Quantity,RefDes,Value,Name,Pattern
1,2,"C1, C2",6pF,C1005C0G1H060D050BA,CAP_0402
2,4,"C3, C4, C14, C15",10pF,C1005C0G1H100D050BA,CAP_0402
3,8,"C5, C6, C7, C8, C24, C36, C39, C40",1uF,C1005X5R1E105M050BC,CAP_0402
4,4,"C9, C11, C35, C44",4.7uF,C1005X5R1A475K050BC,CAP_0402
5,14,"C10, C12, C13, C17, C18, C19, C20, C21, C22, C23, C26, C27, C28, C41",0.1uF,CGA2B1X7R1C104K050BC,CAP_0402
6,2,"C16, C25",10uF,C1005X5R0J106M050BC,CAP_0402
7,5,"C29, C30, C32, C33, C37",0.01uF,CGA2B2X7R1E103K050BA,CAP_0402
8,1,C31,0.047uF,CGA2B1X7R1E473K050BC,CAP_0402
9,1,C34,2.2uF,C1005X5R1E225M050BC,CAP_0402
10,2,"C38, C43",10uF,C1608X5R1E106M080AC,CAP_0603
11,2,"C42, C45",0.1uF,CGA2B3X5R1E104K050BB,CAP_0402
12,1,C46,4.7uF/25V Tantalum,298D475X0025P2T,CAP_0805
13,1,D1,,BAT54CWT1G,SOT323
14,1,D2,,LNJ947W8CRA,DIO_0402
15,3,"D3, D4, D5",,PMEG2010AEH,SOD-123F
16,1,J1,,ZX62R-B-5P,ZX62R-B-5P
17,1,J2,,644456-6,HDR-1x6T/2.54/15x2
18,1,J3,,DM3D-SF,DM3D
19,2,"J4, J5",,FTS-103-01-L-DV,HDR-2x3S/1.27x1.27/4x6
20,1,J6,,SJ-43515RS-SMT-TR,SJ-43515RS-SMT
21,1,J7,,FTS-104-01-L-DV,HDR-2x4S/1.27x1.27/5x6
22,1,J8,,S2B-PH-SM4-TB(LF)(SN),JST-2
23,1,J9,,XF2M-3015-1A,XF2M-3015-1A
24,1,L1,10uH,NR4018T100M,NR4018T100M
25,1,Q1,,"BCX51-16,115",SOT89
26,2,"R1, R2",0,RC0402JR-070RL,RES_0402
27,5,"R3, R5, R6, R7, R8",49k,RC0402FR-0749K9L,RES_0402
28,12,"R4, R19, R21, R24, R25, R26, R27, R28, R29, R30, R31, R32",100k,RC0402FR-07100KL,RES_0402
29,3,"R9, R11, R12",330k,RC0402JR-07330KL,RES_0402
30,1,R10,1M,RC0402FR-071ML,RES_0402
31,1,R13,10,RC0402JR-0710RL,RES_0402
32,2,"R14, R15",20,RC0402JR-0720RL,RES_0402
33,1,R17,"400m, 1W",ERJ-1TRQFR43U,RES_2512
34,1,R18,220m,RL0402FR-070R22L,RES_0402
35,1,R20,50,RC0402FR-0749R9L,RES_0402
36,1,R22,10k,RC0402JR-0710KL,RES_0402
37,1,R23,600k,RC0402FR-07590KL,RES_0402
38,1,SW1,,AYZ0102AGRLC,AYZ0102AGRLC
39,2,"SW2, SW8",,TL3315NF160Q,TL3315
40,1,SW3,,EVQ-Q3AA15,EVQQ3
41,4,"SW4, SW5, SW6, SW7",,TL1014BF160QG,TL1014
42,1,U1,3.3V,LP5907MFX-3.3/NOPB,SOT23-5
43,1,U2,,LP5907MFX-1.8/NOPB,SOT23-5
44,1,U3,,LSM6DS3TR,LSM6DS3
45,1,U4,,STM32F411RCT6,QFP-64/12x12x0.5
46,1,U5,,LPS22HBTR,LPS22HB
47,1,U6,,VS1053B,LQFP-48/7x7
48,1,U7,,BC127,bc127
49,1,U8,,FGPMMOPA6H,FGPMMOPA6H
50,1,U9,,FAN5331SX,SOT23-5
51,1,Y1,32kHz,ST2012SB32768C0HPWBB,ST2012SB
52,1,Y2,24MHz,ABM8G-24.000MHZ-4Y-T3,ABM8G
53,1,Y3,12.288MHz,ABM8G-12.288MHZ-4Y-T3,ABM8G
,113,,,,
